player_id,name,club_info.squad_number,birth_year,position,secondary_position,left_foot,right_foot,ability.pace,ability.strength,ability.jump,ability.agility,ability.dribble,ability.pass,ability.shot,ability.tackle,ability.position,ability.goalkeep,club_info.contract,club_info.wage
1,K. Walker,2,1990,RIGHT_BACK,CENTRE_BACK,1,3,16,14,15,14,11,13,8,16,16,,3,5000000
2,R. Dias,3,1997,CENTRE_BACK,,,3,14,16,17,12,9,13,10,17,17,,6,5000000
3,J. Stones,5,1994,CENTRE_BACK,RIGHT_BACK,1,3,15,17,18,10,8,11,9,18,16,,5,6000000
4,N. Ake,6,1995,CENTRE_BACK,DEFENSIVE_MIDFIELDER,3,,14,16,14,14,10,13,11,16,16,,4,1500000
5,R. Sterling,7,1994,LEFT_WINGER,RIGHT_WINGER,,3,18,9,8,17,16,14,14,8,9,,2,10000000
6,I. Gundogan,8,1990,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,2,3,12,14,12,14,16,17,16,9,14,,2,8000000
7,G. Jesus,9,1997,CENTRE_FORWARD,LEFT_WINGER,2,3,16,13,11,17,17,16,17,9,9,,2,8000000
8,J. Grealish,10,1995,LEFT_WINGER,ATTACKING_MIDFIELDER,1,3,16,10,13,16,16,17,17,9,10,,6,12000000
9,O. Zinchenko,11,1996,LEFT_BACK,LEFT_MIDFIELDER,3,,17,8,11,16,14,16,9,12,14,,3,5000000
10,Z. Steffen,13,1995,GOAL_KEEPER,,,3,10,12,16,13,,11,,14,,15,2,1000000
11,A. Laporte,14,1994,CENTRE_BACK,,3,1,11,17,18,10,10,13,11,17,15,,4,7500000
12,Rodri,16,1996,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,12,15,17,14,14,15,10,17,16,,3,7500000
13,K. De Bruyne,17,1991,ATTACKING_MIDFIELDER,CENTRAL_MIDFIEDLER,2,3,15,9,14,18,18,20,16,10,13,,4,15000000
14,B. Silva,20,1994,ATTACKING_MIDFIELDER,CENTRAL_MIDFIEDLER,3,1,16,8,10,17,17,18,14,9,13,,4,8000000
15,F. Torres,21,2000,CENTRAL_MIDFIEDLER,CENTRE_FORWARD,,3,16,12,15,15,15,16,15,8,10,,4,6000000
16,B. Mendy,22,1994,LEFT_BACK,,3,,15,14,14,12,14,15,9,15,16,,2,2000000
17,Fernandinho,25,1985,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,,3,9,11,13,11,16,17,12,15,16,,1,6000000
18,R. Mahrez,26,1991,RIGHT_WINGER,ATTACKING_MIDFIELDER,3,2,16,8,14,17,17,17,18,8,10,,2,9000000
19,J. Cancelo,27,1994,RIGHT_BACK,RIGHT_MIDFIELDER,1,3,16,11,13,16,15,14,10,15,16,,4,4000000
20,Ederson,31,1993,GOAL_KEEPER,,3,,12,15,17,16,,13,,17,,18,5,5000000
21,S. Carson,33,1985,GOAL_KEEPER,,,3,10,13,15,14,,10,,13,,15,1,500000
22,Kayky,37,2003,RIGHT_WINGER,RIGHT_MIDFIELDER,3,1,14,12,12,15,14,15,13,8,8,,5,500000
23,P. Foden,47,2000,RIGHT_MIDFIELDER,ATTACKING_MIDFIELDER,3,2,16,12,11,16,15,16,17,8,10,,3,4000000
24,L. Delap,48,2003,CENTRE_FORWARD,SECOND_STRIKER,,3,13,12,13,14,10,11,14,8,8,,5,500000
25,C. Palmer,80,2002,CENTRAL_MIDFIEDLER,,,3,10,13,14,12,12,13,11,9,9,,4,500000
26,D. de Gea,1,1990,GOAL_KEEPER,,,3,10,12,17,18,,12,,15,,18,2,12000000
27,V. Lindelof,2,1994,CENTRE_BACK,DEFENSIVE_MIDFIELDER,,3,10,16,17,11,9,11,9,16,16,,3,5000000
28,E. Bailly,3,1994,CENTRE_BACK,,,3,10,13,17,10,9,10,9,17,15,,3,4000000
29,P. Jones,4,1992,CENTRE_BACK,DEFENSIVE_MIDFIELDER,,3,11,12,16,13,9,11,8,16,13,,2,6000000
30,H. Maguire,5,1993,CENTRE_BACK,,,3,10,16,19,12,9,11,10,18,16,,4,9000000
31,P. Pogba,6,1993,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,1,3,13,16,17,15,17,16,17,15,15,,1,15000000
32,C. Ronaldo,7,1985,LEFT_WINGER,CENTRE_FORWARD,2,3,14,16,20,9,15,14,19,11,10,,2,25000000
33,J. Mata,8,1988,ATTACKING_MIDFIELDER,LEFT_WINGER,3,1,13,8,9,12,18,17,17,8,10,,1,10000000
34,A. Martial,9,1995,CENTRE_FORWARD,LEFT_WINGER,,3,17,14,14,13,16,13,15,8,8,,3,8000000
35,M. Rashford,10,1997,LEFT_WINGER,CENTRE_FORWARD,,3,16,13,15,15,14,15,16,8,9,,2,8000000
36,M. Greenwood,11,2001,CENTRE_FORWARD,RIGHT_WINGER,3,3,16,8,14,16,13,14,15,7,8,,4,5000000
37,L. Grant,13,1983,GOAL_KEEPER,,,3,8,13,14,12,,9,,14,,15,1,800000
38,J. Lingard,14,1992,ATTACKING_MIDFIELDER,LEFT_WINGER,,3,15,9,13,16,16,16,15,8,9,,1,4000000
39,Fred,17,1993,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,3,1,15,9,9,16,15,16,12,12,14,,2,4000000
40,B. Fernandes,18,1994,ATTACKING_MIDFIELDER,CENTRE_FORWARD,2,3,15,9,13,17,16,18,15,9,13,,4,10000000
41,R. Varane,19,1993,CENTRE_BACK,,,3,10,16,18,13,10,11,10,18,15,,4,9000000
42,E. Cavani,21,1987,CENTRE_FORWARD,LEFT_WINGER,,3,12,11,14,10,16,13,17,11,8,,1,5000000
43,L. Shaw,23,1995,LEFT_BACK,,3,,15,11,11,14,14,14,9,15,15,,2,6000000
44,J. Sancho,25,2000,LEFT_WINGER,RIGHT_WINGER,2,3,16,11,11,16,16,15,12,8,8,,5,8000000
45,D. Henderson,26,1997,GOAL_KEEPER,,,3,12,14,16,16,,9,,14,,16,4,1000000
46,A. Telles,27,1992,LEFT_BACK,,3,1,14,9,14,14,15,14,12,13,15,,3,4000000
47,A. Wan-Bissaka,29,1997,RIGHT_BACK,,,3,15,11,13,15,10,9,9,14,13,,3,4000000
48,N. Matic,31,1988,DEFENSIVE_MIDFIELDER,CENTRAL_MIDFIEDLER,3,,8,14,16,8,11,15,10,16,18,,2,6000000
49,D. van de Beek,34,1997,ATTACKING_MIDFIELDER,CENTRAL_MIDFIEDLER,,3,14,11,14,16,14,15,13,10,12,,4,5000000
50,S. McTominay,39,1996,DEFENSIVE_MIDFIELDER,CENTRAL_MIDFIEDLER,,3,10,16,18,9,11,11,9,13,17,,4,6000000
51,Alisson,1,1992,GOAL_KEEPER,,,3,9,16,18,17,,11,,17,,18,6,9000000
